0	1
293T-PE2-RNA-TNFa-rep1	PE2.TNFa
293T-PE2-RNA-TNFa-rep2	PE2.TNFa
293T-PE2-RNA-TNFa-rep3	PE2.TNFa
293T-PE2-RNA-rep1	PE2
293T-PE2-RNA-rep2	PE2
293T-PE2-RNA-rep3	PE2
293T-PE2-recorder-RNA-TNFa-rep1	PE2.recorder.TNFa
293T-PE2-recorder-RNA-TNFa-rep2	PE2.recorder.TNFa
293T-PE2-recorder-RNA-TNFa-rep3	PE2.recorder.TNFa
293T-PE2-recorder-RNA-rep1	PE2.recorder
293T-PE2-recorder-RNA-rep2	PE2.recorder
293T-PE2-recorder-RNA-rep3	PE2.recorder
293T-RNA-TNFa-rep1	TNFa
293T-RNA-TNFa-rep2	TNFa
293T-RNA-TNFa-rep3	TNFa
293T-RNA-rep1	293T
293T-RNA-rep2	293T
293T-RNA-rep3	293T
