ID	293T-PE2-RNA-TNFa-rep1	293T-PE2-RNA-TNFa-rep2	293T-PE2-RNA-TNFa-rep3	293T-PE2-RNA-rep1	293T-PE2-RNA-rep2	293T-PE2-RNA-rep3	293T-PE2-recorder-RNA-TNFa-rep1	293T-PE2-recorder-RNA-TNFa-rep2	293T-PE2-recorder-RNA-TNFa-rep3	293T-PE2-recorder-RNA-rep1	293T-PE2-recorder-RNA-rep2	293T-PE2-recorder-RNA-rep3	293T-RNA-TNFa-rep1	293T-RNA-TNFa-rep2	293T-RNA-TNFa-rep3	293T-RNA-rep1	293T-RNA-rep2	293T-RNA-rep3
ENSG00000237973.1	71	364	243	172	175	213	168	302	259	175	259	335	151	233	152	199	29	347
ENSG00000248527.1	769	5318	3186	1966	2172	3133	1773	4138	3551	2053	3585	4618	1846	3397	2904	2390	333	5061
ENSG00000228794.11	97	175	131	73	89	154	59	183	130	74	171	183	97	167	142	76	15	173
ENSG00000223764.2	413	1196	805	507	618	790	372	986	656	503	967	1229	361	738	656	465	63	946
ENSG00000187634.13	927	2263	1383	863	1162	1398	595	1674	964	860	1560	1896	744	1494	1147	840	134	1715
ENSG00000188976.11	1650	3337	2310	1381	1953	2256	1360	3476	2366	1727	3055	3871	1680	3238	2537	1616	282	3520
ENSG00000187961.15	308	1063	682	440	582	651	377	946	612	523	851	1143	302	745	561	421	78	849
ENSG00000272512.1	54	158	106	93	97	135	68	191	158	120	208	253	85	212	182	129	19	271
ENSG00000188290.11	978	2187	1318	865	1152	1459	753	2036	1130	950	1763	2220	878	1621	1285	929	133	1772
ENSG00000188157.15	1321	3198	1941	744	959	1211	940	2543	1465	813	1452	1899	1436	2581	2097	939	149	1781
ENSG00000131591.18	156	361	264	115	200	246	148	357	234	179	283	387	141	310	228	152	25	319
ENSG00000078808.19	826	1880	1227	741	905	1126	715	1753	1165	809	1343	1704	744	1558	1144	769	121	1496
ENSG00000176022.7	415	827	552	310	401	493	328	764	443	347	583	776	367	639	484	253	54	625
ENSG00000160087.21	481	1034	594	374	515	608	332	942	630	500	738	962	468	872	700	429	72	896
ENSG00000162572.21	54	205	101	62	96	129	72	174	107	98	195	207	54	117	110	62	9	167
ENSG00000131584.19	401	1365	886	522	584	734	451	1133	735	591	1030	1337	437	1022	848	613	91	1265
ENSG00000169972.12	236	486	304	178	230	293	169	396	244	181	338	439	178	352	311	171	27	341
ENSG00000127054.22	619	1589	1077	643	838	1004	615	1442	1002	793	1326	1657	643	1321	1161	709	97	1502
ENSG00000224051.7	231	447	300	164	221	291	136	391	240	183	294	441	148	295	263	131	30	331
ENSG00000107404.21	1083	2278	1463	948	1331	1455	842	2181	1397	1075	1866	2416	914	1812	1455	950	133	1909
ENSG00000162576.17	226	635	388	208	289	328	214	530	286	240	402	567	149	288	237	171	34	300
ENSG00000175756.14	968	2022	1265	739	1068	1156	723	2094	1177	947	1637	2032	823	1574	1201	765	146	1557
ENSG00000221978.13	743	2766	1740	1008	1162	1682	867	2273	1838	1097	1948	2592	806	1701	1427	1078	153	2046
ENSG00000224870.8	179	383	261	151	199	244	147	406	289	211	298	419	204	345	284	191	37	393
