"ensembl_gene_id","hgnc_symbol","external_gene_name"
"ENSG00000000457","SCYL3","SCYL3"
"ENSG00000000460","C1orf112","C1orf112"
"ENSG00000001167","NFYA","NFYA"
"ENSG00000001460","STPG1","STPG1"
"ENSG00000001461","NIPAL3","NIPAL3"
"ENSG00000001617","SEMA3F","SEMA3F"
"ENSG00000002549","LAP3","LAP3"
"ENSG00000003137","CYP26B1","CYP26B1"
"ENSG00000003393","ALS2","ALS2"
"ENSG00000003400","CASP10","CASP10"
"ENSG00000003402","CFLAR","CFLAR"
"ENSG00000003436","TFPI","TFPI"
"ENSG00000003509","NDUFAF7","NDUFAF7"
"ENSG00000003756","RBM5","RBM5"
"ENSG00000004399","PLXND1","PLXND1"
"ENSG00000004455","AK2","AK2"
"ENSG00000004487","KDM1A","KDM1A"
"ENSG00000004534","RBM6","RBM6"
"ENSG00000005059","MCUB","MCUB"
"ENSG00000005436","GCFC2","GCFC2"
"ENSG00000005448","WDR54","WDR54"
"ENSG00000006607","FARP2","FARP2"
"ENSG00000007341","ST7L","ST7L"
"ENSG00000007402","CACNA2D2","CACNA2D2"
"ENSG00000007866","TEAD3","TEAD3"
"ENSG00000007923","DNAJC11","DNAJC11"
"ENSG00000007944","MYLIP","MYLIP"
"ENSG00000007968","E2F2","E2F2"
"ENSG00000008083","JARID2","JARID2"
"ENSG00000008130","NADK","NADK"
"ENSG00000008300","CELSR3","CELSR3"
"ENSG00000008324","SS18L2","SS18L2"
"ENSG00000008869","HEATR5B","HEATR5B"
"ENSG00000008952","SEC62","SEC62"
"ENSG00000009307","CSDE1","CSDE1"
"ENSG00000009780","FAM76A","FAM76A"
"ENSG00000010017","RANBP9","RANBP9"
"ENSG00000010072","SPRTN","SPRTN"
"ENSG00000010165","METTL13","METTL13"
"ENSG00000010256","UQCRC1","UQCRC1"
"ENSG00000010318","PHF7","PHF7"
"ENSG00000010319","SEMA3G","SEMA3G"
"ENSG00000010322","NISCH","NISCH"
"ENSG00000010803","SCMH1","SCMH1"
"ENSG00000011007","ELOA","ELOA"
"ENSG00000011009","LYPLA2","LYPLA2"
"ENSG00000011021","CLCN6","CLCN6"
"ENSG00000011198","ABHD5","ABHD5"
"ENSG00000011376","LARS2","LARS2"
"ENSG00000011523","CEP68","CEP68"
"ENSG00000011566","MAP4K3","MAP4K3"
"ENSG00000012171","SEMA3B","SEMA3B"
"ENSG00000013016","EHD3","EHD3"
"ENSG00000013288","MAN2B2","MAN2B2"
"ENSG00000013441","CLK1","CLK1"
"ENSG00000013561","RNF14","RNF14"
"ENSG00000013810","TACC3","TACC3"
"ENSG00000014641","MDH1","MDH1"
"ENSG00000014824","SLC30A9","SLC30A9"
"ENSG00000014914","MTMR11","MTMR11"
"ENSG00000016082","ISL1","ISL1"
"ENSG00000016391","CHDH","CHDH"
"ENSG00000016864","GLT8D1","GLT8D1"
"ENSG00000017260","ATP2C1","ATP2C1"
"ENSG00000018189","RUFY3","RUFY3"
"ENSG00000018408","WWTR1","WWTR1"
"ENSG00000018510","AGPS","AGPS"
"ENSG00000018699","TTC27","TTC27"
"ENSG00000020129","NCDN","NCDN"
"ENSG00000020633","RUNX3","RUNX3"
"ENSG00000021355","SERPINB1","SERPINB1"
"ENSG00000021574","SPAST","SPAST"
"ENSG00000021826","CPS1","CPS1"
"ENSG00000023228","NDUFS1","NDUFS1"
"ENSG00000023330","ALAS1","ALAS1"
"ENSG00000023572","GLRX2","GLRX2"
"ENSG00000023892","DEF6","DEF6"
"ENSG00000023902","PLEKHO1","PLEKHO1"
"ENSG00000023909","GCLM","GCLM"
"ENSG00000024048","UBR2","UBR2"
"ENSG00000024526","DEPDC1","DEPDC1"
"ENSG00000025800","KPNA6","KPNA6"
"ENSG00000026950","BTN3A1","BTN3A1"
"ENSG00000027847","B4GALT7","B4GALT7"
"ENSG00000027869","SH2D2A","SH2D2A"
"ENSG00000028116","VRK2","VRK2"
"ENSG00000028310","BRD9","BRD9"
"ENSG00000030110","BAK1","BAK1"
"ENSG00000030419","IKZF2","IKZF2"
"ENSG00000031003","FAM13B","FAM13B"
"ENSG00000031081","ARHGAP31","ARHGAP31"
"ENSG00000031698","SARS1","SARS1"
"ENSG00000032389","EIPR1","EIPR1"
"ENSG00000033178","UBA6","UBA6"
"ENSG00000033867","SLC4A7","SLC4A7"
"ENSG00000034510","TMSB10","TMSB10"
"ENSG00000034533","ASTE1","ASTE1"
"ENSG00000035115","SH3YL1","SH3YL1"
