Sample,Day,value,rep,primer
a,1,2.72676291,rep1,ctrl1
b,1,-9.02938716,rep1,ctrl1
c,1,-9.09306106,rep1,ctrl1
b,5,-1.48883571,rep1,ctrl1
a,7,7.27583955,rep1,ctrl1
b,7,2.43654224,rep1,ctrl1
c,7,0.03475746,rep1,ctrl1
b,9,3.84823022,rep1,ctrl1
a,11,5.937399,rep1,ctrl1
b,11,4.55380797,rep1,ctrl1
c,11,1.72707608,rep1,ctrl1
b,13,5.18935391,rep1,ctrl1
a,15,6.09418556,rep1,ctrl1
b,15,5.18935391,rep1,ctrl1
c,15,1.81255794,rep1,ctrl1
a,1,2.59357148,rep2,ctrl1
b,1,-8.88741119,rep2,ctrl1
c,1,-8.99113097,rep2,ctrl1
b,5,-1.8597074,rep2,ctrl1
a,7,6.32359032,rep2,ctrl1
b,7,2.73484281,rep2,ctrl1
c,7,0.1290407,rep2,ctrl1
b,9,4.65219395,rep2,ctrl1
a,11,6.30948135,rep2,ctrl1
b,11,4.14774335,rep2,ctrl1
c,11,1.18590272,rep2,ctrl1
b,13,4.60284067,rep2,ctrl1
a,15,5.80821075,rep2,ctrl1
b,15,4.60284067,rep2,ctrl1
c,15,1.61952259,rep2,ctrl1
a,1,3.82752888,rep1,ctrl2
b,1,-8.62863189,rep1,ctrl2
c,1,-8.38972295,rep1,ctrl2
b,5,-1.07022158,rep1,ctrl2
a,7,9.99444808,rep1,ctrl2
b,7,3.68180603,rep1,ctrl2
c,7,0.64425022,rep1,ctrl2
b,9,4.57305583,rep1,ctrl2
a,11,6.80684689,rep1,ctrl2
b,11,5.3725066,rep1,ctrl2
c,11,2.29098948,rep1,ctrl2
b,13,5.69275716,rep1,ctrl2
a,15,8.43834,rep1,ctrl2
b,15,5.69275716,rep1,ctrl2
c,15,2.30887407,rep1,ctrl2
a,1,3.9353628,rep2,ctrl2
b,1,-7.14572976,rep2,ctrl2
c,1,-8.40774628,rep2,ctrl2
b,5,-1.4461475,rep2,ctrl2
a,7,8.16759561,rep2,ctrl2
b,7,3.81202769,rep2,ctrl2
c,7,0.7536066,rep2,ctrl2
b,9,6.20607646,rep2,ctrl2
a,11,7.32432144,rep2,ctrl2
b,11,6.02277941,rep2,ctrl2
c,11,1.73280008,rep2,ctrl2
b,13,5.20008693,rep2,ctrl2
a,15,6.32697269,rep2,ctrl2
b,15,5.20008693,rep2,ctrl2
c,15,2.77311399,rep2,ctrl2
a,1,5.74816075,rep1,GFP1
b,1,-8.52755762,rep1,GFP1
c,1,-8.86141335,rep1,GFP1
b,5,-1.00372778,rep1,GFP1
a,7,10.079635,rep1,GFP1
b,7,2.74198862,rep1,GFP1
c,7,-4.23357043,rep1,GFP1
b,9,4.14734397,rep1,GFP1
a,11,9.63880538,rep1,GFP1
b,11,5.42016599,rep1,GFP1
c,11,-2.79184362,rep1,GFP1
b,13,6.67307095,rep1,GFP1
a,15,8.29839575,rep1,GFP1
b,15,6.67307095,rep1,GFP1
c,15,-3.14098114,rep1,GFP1
a,1,5.78114186,rep2,GFP1
b,1,-8.37839977,rep2,GFP1
c,1,-8.79715408,rep2,GFP1
b,5,-1.93298009,rep2,GFP1
a,7,9.64753341,rep2,GFP1
b,7,2.81143658,rep2,GFP1
c,7,-4.02537966,rep2,GFP1
b,9,4.86567612,rep2,GFP1
a,11,7.02634883,rep2,GFP1
b,11,4.6091552,rep2,GFP1
c,11,-3.22350031,rep2,GFP1
b,13,5.69077139,rep2,GFP1
a,15,6.60111272,rep2,GFP1
b,15,5.69077139,rep2,GFP1
c,15,-2.86553675,rep2,GFP1
a,1,2.25074004,rep1,GFP2
b,1,-8.39195631,rep1,GFP2
c,1,-8.93371401,rep1,GFP2
b,5,-1.44374702,rep1,GFP2
a,7,7.48704516,rep1,GFP2
b,7,2.75548952,rep1,GFP2
c,7,-4.4779741,rep1,GFP2
b,9,3.28914019,rep1,GFP2
a,11,6.76455928,rep1,GFP2
b,11,4.29415094,rep1,GFP2
c,11,-3.0586554,rep1,GFP2
b,13,4.74961842,rep1,GFP2
a,15,5.51851422,rep1,GFP2
b,15,4.74961842,rep1,GFP2
c,15,-3.40541175,rep1,GFP2
a,1,1.89228761,rep2,GFP2
b,1,-8.59214889,rep2,GFP2
c,1,-9.11828743,rep2,GFP2
b,5,-1.78229034,rep2,GFP2
a,7,6.37497094,rep2,GFP2
b,7,3.71919027,rep2,GFP2
c,7,-4.33583943,rep2,GFP2
b,9,4.04509583,rep2,GFP2
a,11,5.9705391,rep2,GFP2
b,11,4.24402232,rep2,GFP2
c,11,-3.83715531,rep2,GFP2
b,13,4.41194204,rep2,GFP2
a,15,8.3513055,rep2,GFP2
b,15,4.41194204,rep2,GFP2
c,15,-3.10970193,rep2,GFP2
